19	               <table>                 <tr><td>Roll: -2.80 </td></tr>                 <tr><td>Pitch: -4.24 </td></tr>                 <tr><td>Yaw: 230.40 </td></tr>                 <tr><td>Time: 17:20:25+07:00 </td></tr>               </table> 	2022-08-12T17:20:25+07:00	#track	absolute	112.7975663,-7.3065172,41.2599983215332
20	               <table>                 <tr><td>Roll: -1.80 </td></tr>                 <tr><td>Pitch: 0.80 </td></tr>                 <tr><td>Yaw: 221.49 </td></tr>                 <tr><td>Time: 17:20:25+07:00 </td></tr>               </table> 	2022-08-12T17:20:25+07:00	#track	absolute	112.7975664,-7.3065165,41.6399993896484
21	               <table>                 <tr><td>Roll: -2.07 </td></tr>                 <tr><td>Pitch: 0.85 </td></tr>                 <tr><td>Yaw: 224.03 </td></tr>                 <tr><td>Time: 17:20:26+07:00 </td></tr>               </table> 	2022-08-12T17:20:26+07:00	#track	absolute	112.7975629,-7.3065172,41.560001373291
22	               <table>                 <tr><td>Roll: 0.14 </td></tr>                 <tr><td>Pitch: 1.61 </td></tr>                 <tr><td>Yaw: 221.93 </td></tr>                 <tr><td>Time: 17:20:27+07:00 </td></tr>               </table> 	2022-08-12T17:20:27+07:00	#track	absolute	112.7975632,-7.306517600000001,40.8899993896484
23	               <table>                 <tr><td>Roll: -0.79 </td></tr>                 <tr><td>Pitch: 2.36 </td></tr>                 <tr><td>Yaw: 246.48 </td></tr>                 <tr><td>Time: 17:20:27+07:00 </td></tr>               </table> 	2022-08-12T17:20:27+07:00	#track	absolute	112.7975655,-7.306516300000001,41.2000007629395
24	               <table>                 <tr><td>Roll: -1.14 </td></tr>                 <tr><td>Pitch: 4.55 </td></tr>                 <tr><td>Yaw: 265.49 </td></tr>                 <tr><td>Time: 17:20:28+07:00 </td></tr>               </table> 	2022-08-12T17:20:28+07:00	#track	absolute	112.7975647,-7.3065197,39.8600006103516
25	               <table>                 <tr><td>Roll: -0.49 </td></tr>                 <tr><td>Pitch: 5.74 </td></tr>                 <tr><td>Yaw: 287.18 </td></tr>                 <tr><td>Time: 17:20:28+07:00 </td></tr>               </table> 	2022-08-12T17:20:28+07:00	#track	absolute	112.797555,-7.3065239,38.4799995422363
26	               <table>                 <tr><td>Roll: -0.19 </td></tr>                 <tr><td>Pitch: 5.43 </td></tr>                 <tr><td>Yaw: 303.66 </td></tr>                 <tr><td>Time: 17:20:29+07:00 </td></tr>               </table> 	2022-08-12T17:20:29+07:00	#track	absolute	112.797547,-7.306531200000001,37.4000015258789
27	               <table>                 <tr><td>Roll: -0.84 </td></tr>                 <tr><td>Pitch: 3.19 </td></tr>                 <tr><td>Yaw: 315.25 </td></tr>                 <tr><td>Time: 17:20:29+07:00 </td></tr>               </table> 	2022-08-12T17:20:29+07:00	#track	absolute	112.7975428,-7.306534100000001,36.7999992370605
28	               <table>                 <tr><td>Roll: -2.70 </td></tr>                 <tr><td>Pitch: 5.28 </td></tr>                 <tr><td>Yaw: 326.44 </td></tr>                 <tr><td>Time: 17:20:30+07:00 </td></tr>               </table> 	2022-08-12T17:20:30+07:00	#track	absolute	112.7975426,-7.3065407,36.060001373291
29	               <table>                 <tr><td>Roll: -2.24 </td></tr>                 <tr><td>Pitch: 4.86 </td></tr>                 <tr><td>Yaw: 331.38 </td></tr>                 <tr><td>Time: 17:20:30+07:00 </td></tr>               </table> 	2022-08-12T17:20:30+07:00	#track	absolute	112.7975405,-7.306544800000001,35.310001373291
30	               <table>                 <tr><td>Roll: -2.67 </td></tr>                 <tr><td>Pitch: 5.37 </td></tr>                 <tr><td>Yaw: 340.66 </td></tr>                 <tr><td>Time: 17:20:31+07:00 </td></tr>               </table> 	2022-08-12T17:20:31+07:00	#track	absolute	112.797541,-7.306548,34.1100006103516
31	               <table>                 <tr><td>Roll: -5.23 </td></tr>                 <tr><td>Pitch: 6.99 </td></tr>                 <tr><td>Yaw: 323.50 </td></tr>                 <tr><td>Time: 17:20:31+07:00 </td></tr>               </table> 	2022-08-12T17:20:31+07:00	#track	absolute	112.7975437,-7.306554,33.8199996948242
32	               <table>                 <tr><td>Roll: -4.76 </td></tr>                 <tr><td>Pitch: 7.98 </td></tr>                 <tr><td>Yaw: 319.08 </td></tr>                 <tr><td>Time: 17:20:32+07:00 </td></tr>               </table> 	2022-08-12T17:20:32+07:00	#track	absolute	112.7975456,-7.3065573,33.4900016784668
33	               <table>                 <tr><td>Roll: -6.32 </td></tr>                 <tr><td>Pitch: 6.79 </td></tr>                 <tr><td>Yaw: 292.86 </td></tr>                 <tr><td>Time: 17:20:32+07:00 </td></tr>               </table> 	2022-08-12T17:20:32+07:00	#track	absolute	112.7975493,-7.3065615,33.3300018310547
34	               <table>                 <tr><td>Roll: -3.91 </td></tr>                 <tr><td>Pitch: 5.48 </td></tr>                 <tr><td>Yaw: 282.19 </td></tr>                 <tr><td>Time: 17:20:33+07:00 </td></tr>               </table> 	2022-08-12T17:20:33+07:00	#track	absolute	112.7975527,-7.306564300000001,33.1199989318848
35	               <table>                 <tr><td>Roll: -7.22 </td></tr>                 <tr><td>Pitch: 4.82 </td></tr>                 <tr><td>Yaw: 256.61 </td></tr>                 <tr><td>Time: 17:20:33+07:00 </td></tr>               </table> 	2022-08-12T17:20:33+07:00	#track	absolute	112.7975645,-7.3065665,32.7900009155273
36	               <table>                 <tr><td>Roll: -3.90 </td></tr>                 <tr><td>Pitch: 3.95 </td></tr>                 <tr><td>Yaw: 238.86 </td></tr>                 <tr><td>Time: 17:20:34+07:00 </td></tr>               </table> 	2022-08-12T17:20:34+07:00	#track	absolute	112.7975746,-7.3065648,32.4000015258789
37	               <table>                 <tr><td>Roll: -4.51 </td></tr>                 <tr><td>Pitch: 3.29 </td></tr>                 <tr><td>Yaw: 212.88 </td></tr>                 <tr><td>Time: 17:20:34+07:00 </td></tr>               </table> 	2022-08-12T17:20:34+07:00	#track	absolute	112.7975815,-7.3065632,32.3699989318848
38	               <table>                 <tr><td>Roll: -3.57 </td></tr>                 <tr><td>Pitch: 5.13 </td></tr>                 <tr><td>Yaw: 194.24 </td></tr>                 <tr><td>Time: 17:20:35+07:00 </td></tr>               </table> 	2022-08-12T17:20:35+07:00	#track	absolute	112.7975876,-7.306559099999999,32.1500015258789
39	               <table>                 <tr><td>Roll: -3.33 </td></tr>                 <tr><td>Pitch: 4.81 </td></tr>                 <tr><td>Yaw: 175.22 </td></tr>                 <tr><td>Time: 17:20:35+07:00 </td></tr>               </table> 	2022-08-12T17:20:35+07:00	#track	absolute	112.7975925,-7.3065541,31.7000007629395
40	               <table>                 <tr><td>Roll: -1.90 </td></tr>                 <tr><td>Pitch: 5.36 </td></tr>                 <tr><td>Yaw: 157.00 </td></tr>                 <tr><td>Time: 17:20:36+07:00 </td></tr>               </table> 	2022-08-12T17:20:36+07:00	#track	absolute	112.7976014,-7.3065489,31.6499996185303
41	               <table>                 <tr><td>Roll: -3.49 </td></tr>                 <tr><td>Pitch: 5.50 </td></tr>                 <tr><td>Yaw: 141.16 </td></tr>                 <tr><td>Time: 17:20:36+07:00 </td></tr>               </table> 	2022-08-12T17:20:36+07:00	#track	absolute	112.7976026,-7.3065434,31.0900001525879
42	               <table>                 <tr><td>Roll: -5.69 </td></tr>                 <tr><td>Pitch: 5.50 </td></tr>                 <tr><td>Yaw: 117.09 </td></tr>                 <tr><td>Time: 17:20:37+07:00 </td></tr>               </table> 	2022-08-12T17:20:37+07:00	#track	absolute	112.7975999,-7.3065393,30.38999938964839
43	               <table>                 <tr><td>Roll: -4.63 </td></tr>                 <tr><td>Pitch: 4.35 </td></tr>                 <tr><td>Yaw: 105.96 </td></tr>                 <tr><td>Time: 17:20:37+07:00 </td></tr>               </table> 	2022-08-12T17:20:37+07:00	#track	absolute	112.7975955,-7.3065351,30.2700004577637
44	               <table>                 <tr><td>Roll: -5.56 </td></tr>                 <tr><td>Pitch: 4.95 </td></tr>                 <tr><td>Yaw: 85.10 </td></tr>                 <tr><td>Time: 17:20:38+07:00 </td></tr>               </table> 	2022-08-12T17:20:38+07:00	#track	absolute	112.7975936,-7.3065333,29.7700004577637
45	               <table>                 <tr><td>Roll: -5.78 </td></tr>                 <tr><td>Pitch: 4.88 </td></tr>                 <tr><td>Yaw: 72.19 </td></tr>                 <tr><td>Time: 17:20:38+07:00 </td></tr>               </table> 	2022-08-12T17:20:38+07:00	#track	absolute	112.7975953,-7.306531299999999,29.6700000762939
46	               <table>                 <tr><td>Roll: -6.05 </td></tr>                 <tr><td>Pitch: 4.06 </td></tr>                 <tr><td>Yaw: 46.97 </td></tr>                 <tr><td>Time: 17:20:39+07:00 </td></tr>               </table> 	2022-08-12T17:20:39+07:00	#track	absolute	112.7975903,-7.306530900000001,29.4300003051758
47	               <table>                 <tr><td>Roll: -6.53 </td></tr>                 <tr><td>Pitch: 4.91 </td></tr>                 <tr><td>Yaw: 28.70 </td></tr>                 <tr><td>Time: 17:20:39+07:00 </td></tr>               </table> 	2022-08-12T17:20:39+07:00	#track	absolute	112.7975883,-7.306532599999999,29.3799991607666
48	               <table>                 <tr><td>Roll: -7.62 </td></tr>                 <tr><td>Pitch: 4.79 </td></tr>                 <tr><td>Yaw: 359.25 </td></tr>                 <tr><td>Time: 17:20:40+07:00 </td></tr>               </table> 	2022-08-12T17:20:40+07:00	#track	absolute	112.7975875,-7.306534100000001,29.3500003814697
49	               <table>                 <tr><td>Roll: -4.39 </td></tr>                 <tr><td>Pitch: 4.39 </td></tr>                 <tr><td>Yaw: 346.05 </td></tr>                 <tr><td>Time: 17:20:41+07:00 </td></tr>               </table> 	2022-08-12T17:20:41+07:00	#track	absolute	112.7975885,-7.3065354,29.3099994659424
50	               <table>                 <tr><td>Roll: -5.99 </td></tr>                 <tr><td>Pitch: 7.66 </td></tr>                 <tr><td>Yaw: 327.24 </td></tr>                 <tr><td>Time: 17:20:41+07:00 </td></tr>               </table> 	2022-08-12T17:20:41+07:00	#track	absolute	112.7975904,-7.3065346,29.0400009155273
51	               <table>                 <tr><td>Roll: -4.99 </td></tr>                 <tr><td>Pitch: 7.51 </td></tr>                 <tr><td>Yaw: 314.96 </td></tr>                 <tr><td>Time: 17:20:42+07:00 </td></tr>               </table> 	2022-08-12T17:20:42+07:00	#track	absolute	112.7975901,-7.3065407,28.7399997711182
